Date,Portfolio name,Currency,Campaign Name,Bidding strategy,Placement,Impressions,Clicks,Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACoS) ,Total Return on Advertising Spend (RoAS),7 Day Total Orders (#),7 Day Total Units (#)
"Oct 06, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,First page Top of Search on Amazon,2,0,,$ 0.00,$ 0.00,,,0,0
"Oct 08, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,First page Top of Search on Amazon,1,0,,$ 0.00,$ 0.00,,,0,0
"Oct 11, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,First page Top of Search on Amazon,1,1,$ 0.77,$ 0.77,$ 0.00,,0.00,0,0
"Oct 12, 2019",Desserts,USD,Desserts_Auto_Royal_Gelatin,Dynamic bids - up and down,First page Top of Search on Amazon,2,0,,$ 0.00,$ 0.00,,,0,0
"Oct 06, 2019",Ingredients,USD,ingredients auto,Dynamic bids - up and down,First page Top of Search on Amazon,155,16,$ 0.06,$ 1.00,$ 23.94,4.1771%,23.94,5,6
"Oct 07, 2019",Ingredients,USD,ingredients auto,Dynamic bids - up and down,First page Top of Search on Amazon,238,19,$ 0.07,$ 1.32,$ 32.92,4.0097%,24.94,6,8
"Oct 08, 2019",Ingredients,USD,ingredients auto,Dynamic bids - up and down,First page Top of Search on Amazon,138,10,$ 0.07,$ 0.67,$ 3.99,16.7920%,5.96,1,1
"Oct 09, 2019",Ingredients,USD,ingredients auto,Dynamic bids - up and down,First page Top of Search on Amazon,137,16,$ 0.08,$ 1.30,$ 52.14,2.4933%,40.11,10,10
"Oct 10, 2019",Ingredients,USD,ingredients auto,Dynamic bids - up and down,First page Top of Search on Amazon,67,3,$ 0.06,$ 0.17,$ 3.99,4.2607%,23.47,1,1
"Oct 11, 2019",Ingredients,USD,ingredients auto,Dynamic bids - up and down,First page Top of Search on Amazon,15,3,$ 0.02,$ 0.07,$ 0.00,,0.00,0,0
"Oct 12, 2019",Ingredients,USD,ingredients auto,Dynamic bids - up and down,First page Top of Search on Amazon,19,3,$ 0.06,$ 0.17,$ 8.49,2.0024%,49.94,1,1
"Oct 06, 2019",Ingredients,USD,Ingredients,Dynamic bids - up and down,First page Top of Search on Amazon,579,40,$ 0.51,$ 20.32,$ 54.78,37.0938%,2.70,12,12
"Oct 07, 2019",Ingredients,USD,Ingredients,Dynamic bids - up and down,First page Top of Search on Amazon,607,40,$ 0.68,$ 27.04,$ 70.07,38.5900%,2.59,12,12
"Oct 08, 2019",Ingredients,USD,Ingredients,Dynamic bids - up and down,First page Top of Search on Amazon,603,38,$ 0.58,$ 21.92,$ 54.81,39.9927%,2.50,9,9
"Oct 09, 2019",Ingredients,USD,Ingredients,Dynamic bids - up and down,First page Top of Search on Amazon,601,32,$ 0.62,$ 19.83,$ 33.95,58.4094%,1.71,5,5
"Oct 10, 2019",Ingredients,USD,Ingredients,Dynamic bids - up and down,First page Top of Search on Amazon,528,33,$ 0.66,$ 21.93,$ 77.45,28.3150%,3.53,9,16
"Oct 11, 2019",Ingredients,USD,Ingredients,Dynamic bids - up and down,First page Top of Search on Amazon,632,35,$ 0.59,$ 20.59,$ 49.88,41.2791%,2.42,8,9
"Oct 12, 2019",Ingredients,USD,Ingredients,Dynamic bids - up and down,First page Top of Search on Amazon,554,28,$ 0.65,$ 18.11,$ 58.58,30.9150%,3.23,9,10
